State,1_31_1996,2_29_1996,3_31_1996,4_30_1996,5_31_1996,6_30_1996,7_31_1996,8_31_1996,9_30_1996,10_31_1996,11_30_1996,12_31_1996,1_31_1997,2_28_1997,3_31_1997,4_30_1997,5_31_1997,6_30_1997,7_31_1997,8_31_1997,9_30_1997,10_31_1997,11_30_1997,12_31_1997,1_31_1998,2_28_1998,3_31_1998,4_30_1998,5_31_1998,6_30_1998,7_31_1998,8_31_1998,9_30_1998,10_31_1998,11_30_1998,12_31_1998,1_31_1999,2_28_1999,3_31_1999,4_30_1999,5_31_1999,6_30_1999,7_31_1999,8_31_1999,9_30_1999,10_31_1999,11_30_1999,12_31_1999,1_31_2000,2_29_2000,3_31_2000,4_30_2000,5_31_2000,6_30_2000,7_31_2000,8_31_2000,9_30_2000,10_31_2000,11_30_2000,12_31_2000,1_31_2001,2_28_2001,3_31_2001,4_30_2001,5_31_2001,6_30_2001,7_31_2001,8_31_2001,9_30_2001,10_31_2001,11_30_2001,12_31_2001,1_31_2002,2_28_2002,3_31_2002,4_30_2002,5_31_2002,6_30_2002,7_31_2002,8_31_2002,9_30_2002,10_31_2002,11_30_2002,12_31_2002,1_31_2003,2_28_2003,3_31_2003,4_30_2003,5_31_2003,6_30_2003,7_31_2003,8_31_2003,9_30_2003,10_31_2003,11_30_2003,12_31_2003,1_31_2004,2_29_2004,3_31_2004,4_30_2004,5_31_2004,6_30_2004,7_31_2004,8_31_2004,9_30_2004,10_31_2004,11_30_2004,12_31_2004,1_31_2005,2_28_2005,3_31_2005,4_30_2005,5_31_2005,6_30_2005,7_31_2005,8_31_2005,9_30_2005,10_31_2005,11_30_2005,12_31_2005,1_31_2006,2_28_2006,3_31_2006,4_30_2006,5_31_2006,6_30_2006,7_31_2006,8_31_2006,9_30_2006,10_31_2006,11_30_2006,12_31_2006,1_31_2007,2_28_2007,3_31_2007,4_30_2007,5_31_2007,6_30_2007,7_31_2007,8_31_2007,9_30_2007,10_31_2007,11_30_2007,12_31_2007,1_31_2008,2_29_2008,3_31_2008,4_30_2008,5_31_2008,6_30_2008,7_31_2008,8_31_2008,9_30_2008,10_31_2008,11_30_2008,12_31_2008,1_31_2009,2_28_2009,3_31_2009,4_30_2009,5_31_2009,6_30_2009,7_31_2009,8_31_2009,9_30_2009,10_31_2009,11_30_2009,12_31_2009,1_31_2010,2_28_2010,3_31_2010,4_30_2010,5_31_2010,6_30_2010,7_31_2010,8_31_2010,9_30_2010,10_31_2010,11_30_2010,12_31_2010,1_31_2011,2_28_2011,3_31_2011,4_30_2011,5_31_2011,6_30_2011,7_31_2011,8_31_2011,9_30_2011,10_31_2011,11_30_2011,12_31_2011,1_31_2012,2_29_2012,3_31_2012,4_30_2012,5_31_2012,6_30_2012,7_31_2012,8_31_2012,9_30_2012,10_31_2012,11_30_2012,12_31_2012,1_31_2013,2_28_2013,3_31_2013,4_30_2013,5_31_2013,6_30_2013,7_31_2013,8_31_2013,9_30_2013,10_31_2013,11_30_2013,12_31_2013,1_31_2014,2_28_2014,3_31_2014,4_30_2014,5_31_2014,6_30_2014,7_31_2014,8_31_2014,9_30_2014,10_31_2014,11_30_2014,12_31_2014,1_31_2015,2_28_2015,3_31_2015,4_30_2015,5_31_2015,6_30_2015,7_31_2015,8_31_2015,9_30_2015,10_31_2015,11_30_2015,12_31_2015,1_31_2016,2_29_2016,3_31_2016,4_30_2016,5_31_2016,6_30_2016,7_31_2016,8_31_2016,9_30_2016,10_31_2016,11_30_2016,12_31_2016,1_31_2017,2_28_2017,3_31_2017,4_30_2017,5_31_2017,6_30_2017,7_31_2017,8_31_2017,9_30_2017,10_31_2017,11_30_2017,12_31_2017,1_31_2018,2_28_2018,3_31_2018,4_30_2018,5_31_2018,6_30_2018,7_31_2018,8_31_2018,9_30_2018,10_31_2018,11_30_2018,12_31_2018,1_31_2019,2_28_2019,3_31_2019,4_30_2019,5_31_2019,6_30_2019,7_31_2019,8_31_2019,9_30_2019,10_31_2019,11_30_2019,12_31_2019,1_31_2020,2_29_2020,3_31_2020,4_30_2020,5_31_2020,6_30_2020,7_31_2020,8_31_2020,9_30_2020,10_31_2020,11_30_2020,12_31_2020,1_31_2021,2_28_2021
South Carolina,99060,99199,99252,99484,99654,99929,100097,100305,100408,100624,100852,101144,101423,101752,102163,102503,102872,103190,103660,104145,104859,105522,106248,106881,107511,107936,108405,108816,109463,109999,110643,111228,111752,112125,112371,112657,113042,113595,114134,114800,115302,115852,116266,116667,116989,117374,117863,118424,118938,119525,120075,120666,121119,121603,122012,122544,123116,123685,124218,124647,125204,125670,126172,126488,126897,127293,127741,128062,128358,128663,128970,129292,129497,129623,129763,129994,130288,130535,130799,131080,131374,131666,131983,132324,132690,133127,133517,133881,134179,134524,134910,135356,135801,136257,136694,137166,137654,138170,138704,139259,139930,140615,141290,141911,142642,143460,144368,145244,146157,146968,147950,148909,149870,150796,151842,152987,154127,155239,156354,157521,158593,159872,160975,162214,163327,164561,165716,166731,167587,168341,168946,169448,169900,170270,170646,170851,171050,171095,171165,171230,171260,171124,171063,170932,170947,170741,170328,169865,169448,169137,168508,167725,166948,166295,165347,164380,163201,162243,161461,160633,159610,158460,157599,156962,156407,155873,155534,155324,155234,155028,154665,154412,154306,154125,153675,153111,152427,151717,151019,150107,149073,147884,147020,146146,145384,144713,144300,143898,143460,143001,142553,142421,142441,142708,142645,142645,142523,142429,142200,141965,141995,142148,142362,142463,142523,142590,142958,143362,143805,144241,144779,145477,146056,146597,147134,147637,148207,148679,148971,149112,149333,149667,150081,150440,150809,151119,151351,151628,151975,152498,153146,153855,154459,155012,155531,155963,156374,156870,157510,158201,158890,159405,159909,160364,161025,161663,162282,163017,163841,164732,165521,166252,166727,167316,167816,168645,169356,170167,170913,171649,172317,172968,173677,174418,175413,176416,177655,178638,179548,180326,181120,181943,182760,183480,184242,185048,185889,186667,187190,187764,188245,188898,189560,190238,190813,191371,191919,192544,193197,193831,194576,195347,196429,197510,198686,199940,201408,203068,204845,206684,208597,210727
Louisiana,84839,85159,85401,85917,86219,86502,86678,87010,87313,87714,88031,88443,88849,89206,89473,89741,90140,90537,90972,91336,91773,92098,92525,92884,93246,93558,93990,94298,94955,95647,96570,97193,97755,98290,98810,99202,99576,99932,100345,100889,101274,101674,101947,102338,102701,102961,103300,103704,104242,104809,105284,105708,106048,106421,106763,107128,107567,108111,108694,109302,109952,110484,111023,111490,111798,112117,112406,113040,113578,114085,114407,114677,114844,115148,115538,116092,117048,117782,118510,118401,118499,118564,119018,119482,119980,120404,120713,120809,120786,120878,121115,121677,122204,122804,123168,123561,124044,124642,125341,125985,126534,127096,127596,128286,128900,129476,130043,130571,130867,131091,131256,131844,132630,133597,134639,135692,136783,137992,139176,140489,141938,143397,144847,145999,146978,147810,148546,149221,149822,150362,150977,151513,152006,152511,153062,153593,153928,154212,154462,154765,155051,155244,155479,155603,155726,155584,155363,155065,154998,154933,154950,154961,154958,154916,154566,154384,154154,154170,154078,154175,154084,153968,153760,153444,153130,152820,152812,152775,153017,153200,153470,153399,153406,153323,153160,152895,152729,152565,152341,151956,151182,150367,149454,148856,148320,148000,147845,147768,147633,147573,147474,147366,147355,147325,147487,147700,147983,148122,148065,148058,148120,148194,148135,148137,148218,148487,148779,148975,149200,149561,150072,150521,150747,150936,151185,151586,152073,152491,152792,153043,153041,152945,152820,152960,153195,153472,153986,154333,154628,154835,155287,155702,156154,156572,157063,157354,157729,158131,158415,158785,158985,159311,159360,159606,159988,160546,161039,161492,161911,162248,162510,162653,162885,163032,163530,164079,164697,165001,165324,165617,166034,166417,166966,167552,168256,168829,169057,169061,168925,169044,169074,169282,169316,169476,169338,169160,168903,168897,168995,169160,169591,170021,170440,170544,170649,170662,170859,171441,172082,172599,172956,173453,173894,174319,174841,175578,176428,177354,178309,179043,179812,180661
Kentucky,76496,76652,76781,77075,77331,77592,77852,78125,78394,78629,78937,79260,79578,79812,80048,80262,80542,80832,81156,81464,81785,82139,82435,82730,83154,83636,84154,84562,84983,85375,85722,86063,86411,86792,87083,87349,87415,87607,87801,88205,88536,88876,89185,89505,89801,90103,90478,90858,91246,91539,91834,92115,92431,92732,93075,93474,93922,94335,94771,95238,95817,96331,96834,97248,97691,98140,98547,98873,99138,99404,99656,99900,100093,100329,100556,100805,101012,101233,101486,101763,102043,102310,102585,102841,103090,103358,103643,103955,104258,104537,104787,105064,105387,105715,106018,106307,106582,106860,107078,107257,107468,107736,108065,108362,108638,108983,109308,109663,110033,110437,110923,111427,111927,112372,112786,113189,113530,113775,114062,114390,114740,115026,115310,115645,115938,116193,116362,116532,116784,117035,117307,117473,117607,117720,117775,117813,117872,117965,118062,118134,118158,118218,118211,118201,118126,118054,117982,117792,117626,117471,117455,117464,117477,117415,117309,117169,117123,117093,116985,116827,116589,116417,116190,115975,115717,115537,115468,115515,115552,115550,115604,115703,115809,115763,115631,115454,115303,115139,114766,114323,113758,113231,112704,112260,111901,111632,111415,111252,111059,110865,110835,110846,110932,110998,111096,111223,111280,111250,111216,111144,111237,111328,111444,111493,111623,111779,112015,112135,112299,112501,112764,113144,113401,113700,113908,114154,114242,114414,114472,114682,114874,115201,115534,115714,115901,116079,116372,116733,117226,117589,117993,118306,118691,118969,119233,119615,120062,120475,120838,121176,121566,122066,122578,123131,123625,124199,124734,125288,125806,126429,127062,127697,128221,128719,129329,130018,130764,131435,132125,132782,133466,134075,134818,135515,136283,136964,137620,138155,138661,139208,139812,140290,140702,141073,141297,141662,142173,142911,143529,144134,144908,145738,146517,147095,147648,148144,148552,149076,149718,150366,150939,151473,152067,152677,153365,154354,155468,156743,158223,159644,160990,162358
Oregon,130319,130800,131218,132063,132884,133718,134555,135352,136111,136950,137824,138726,139548,140337,141207,142091,142914,143651,144321,144990,145654,146100,146542,146897,147547,148054,148471,148709,149079,149524,150025,150551,150972,151512,151867,152395,152506,152744,152863,153246,153597,153905,154207,154516,155187,155801,156518,156817,157225,157721,158431,159189,159753,160268,160661,161110,161424,161792,162191,162753,163420,163964,164504,164894,165344,165779,166311,166946,167538,168129,168633,169255,169877,170542,171122,171700,172364,173103,173823,174337,174888,175454,176249,177030,177921,178746,179575,180337,181073,181836,182653,183659,184720,185963,187113,188318,189463,190777,192145,193482,194964,196450,198152,199747,201462,203242,205266,207250,209321,211658,214290,217372,220438,223691,227127,231014,235394,239583,243572,247674,251788,255411,258786,262015,265538,269315,272674,275651,277311,278894,280360,281858,283120,284213,285491,286859,288031,288444,288482,288174,288131,287775,287061,286021,284444,283416,281785,280114,277722,275494,273390,271044,268598,266038,263605,260964,258831,256154,253469,250417,247991,245645,243416,241759,240710,239983,239220,238647,237860,237237,236977,236609,235645,234209,232653,230838,228547,226417,224707,223088,221402,219354,216946,214614,212718,211539,210725,209997,209452,208630,207753,206746,206079,205714,206036,206713,207656,208510,209321,210553,211835,213591,214807,216393,218079,220674,223162,225781,228329,230576,232732,234275,236037,237448,239682,241890,244080,245439,246420,247377,248074,249237,250317,251742,253135,254751,256276,257537,258762,260414,262463,264254,266173,268158,270436,273001,275475,278050,280485,283069,285772,287879,290082,292635,295830,298869,301919,304476,307121,309464,311639,314032,316312,319003,321255,323605,325402,326967,328308,329975,331723,333516,335401,337166,338869,340854,343141,345230,347106,349059,351075,352520,353471,354071,355050,356198,357567,358398,358637,358864,359585,361009,362104,363094,363352,364237,364735,365955,367419,369111,371158,373074,375342,377299,379761,382789,386910,391030,395599,399899,404305,409182
Oklahoma,64616,64714,64869,65129,65400,65601,65803,65974,66133,66278,66467,66707,66900,67107,67247,67466,67662,67955,68242,68571,68907,69266,69603,69911,70342,70747,71144,71405,71697,71988,72288,72634,73022,73418,73706,73904,74031,74267,74542,74896,75211,75557,75921,76207,76448,76667,76995,77387,77736,77983,78284,78610,79011,79341,79681,79991,80285,80581,80934,81335,81785,82201,82548,82849,83109,83388,83638,83938,84249,84557,84789,84990,85191,85463,85711,85960,86187,86442,86718,86972,87228,87486,87772,88038,88255,88460,88717,89018,89299,89552,89789,90037,90280,90506,90742,90992,91277,91570,91833,92081,92336,92612,92892,93215,93579,93992,94318,94654,95019,95363,95675,95965,96314,96642,96966,97277,97626,97928,98288,98631,99007,99446,99977,100452,100828,101144,101473,101800,102076,102391,102708,103037,103323,103523,103743,103933,104166,104386,104704,104991,105205,105317,105479,105639,105719,105865,105779,105835,105807,105943,105921,105860,105854,105979,105941,105843,105711,105508,105415,105259,105264,105293,105408,105544,105655,105739,106015,106232,106462,106601,106840,107086,107260,107198,106914,106578,106216,105908,105450,105134,104859,104699,104409,104025,103597,103301,103243,103288,103446,103452,103431,103306,103204,103197,103241,103412,103677,103914,104076,104164,104146,104212,104406,104743,105046,105206,105383,105628,105797,106013,106240,106568,106924,107144,107358,107505,107793,108071,108330,108493,108768,109004,109295,109532,109833,110383,110876,111312,111580,111944,112379,112776,113064,113364,113632,113894,114071,114012,113991,114054,114388,114781,115152,115489,115822,116187,116566,116920,117255,117650,118022,118408,118612,118857,119082,119500,119901,120283,120569,120888,121294,121742,122157,122546,122925,123133,123354,123537,123873,124095,124353,124590,124874,125215,125530,125886,126156,126663,127101,127524,127883,128457,129114,129704,130204,130679,131259,131800,132519,133099,133790,134471,135230,135928,136614,137412,138298,139221,140142,141140,142112,143173
Connecticut,150160,149961,150191,150346,150461,150525,150592,150831,150705,150579,150342,150407,150028,150145,149658,149705,149618,149712,149888,149907,150420,150864,151386,151599,152606,153341,154376,154646,155242,155754,156185,156651,157208,157999,158929,159704,160212,160550,161192,162155,163269,164289,165346,166256,167172,168045,169099,170353,171655,173213,174666,175987,176894,177880,178998,180179,181354,182492,183708,184951,186303,187589,188891,190274,191733,193114,194409,196191,198112,200084,201560,202937,204316,205966,207685,209478,211342,213417,215603,217610,219301,221470,223872,226365,228651,230757,233024,235248,237610,239815,242000,244020,246397,248174,250250,252421,255005,257574,259775,262179,264657,267512,270360,273103,275725,278647,281665,284624,287150,289834,292511,295313,297960,300812,303608,306717,309722,312770,315454,317668,319566,320643,322361,323735,325307,325816,326233,326106,325793,325050,324316,323724,323963,324348,324509,323912,322952,321836,320780,320014,319576,319029,318041,316713,314343,311717,308717,306374,304596,303135,301537,299197,296463,293804,291708,289933,288314,286945,285086,282969,280194,277592,275384,274178,273296,272879,272042,271148,269841,268801,268610,268967,269362,269381,268861,267922,266733,264947,262866,260847,259735,258793,257228,255271,253329,252181,250979,249513,247844,246192,245047,243755,242374,240966,239889,238733,237592,235950,234896,234340,234146,234416,234773,235682,236560,237021,237641,238687,240207,241663,242619,243617,244664,245431,245950,245935,245727,245701,245307,244895,244038,243709,243409,242842,242114,241686,241575,241418,241200,241180,241605,241985,242415,242475,242609,242816,243236,243123,242491,242174,242329,242725,242756,242424,242219,242105,242178,242109,241923,242244,243048,243957,244872,245426,246012,246767,247599,248350,249141,249993,250983,251754,252669,253144,253504,253614,254019,254454,254995,255703,256158,256601,256536,256562,256283,256676,256644,257219,257526,258185,258803,259191,259224,258829,258398,258069,257993,258228,259246,259980,260910,261705,262826,264343,266552,269422,272911,276712,280848,284967,289220,294046
Iowa,80470,80636,80780,81080,81320,81545,81721,81905,82071,82354,82732,83165,83352,83417,83403,83453,83580,83714,83903,84056,84226,84249,84107,83909,84047,84338,84744,85055,85379,85684,86005,86335,86685,86949,87269,87635,88022,88417,88755,89149,89471,89835,90132,90494,90835,91347,91904,92286,92652,93015,93573,93998,94424,94771,95163,95463,95817,96197,96543,96985,97347,97754,98047,98376,98688,99038,99400,99823,100249,100601,100931,101272,101561,101817,102043,102429,102882,103370,103745,104042,104266,104545,104899,105275,105696,106113,106505,106796,107042,107273,107607,108022,108500,108964,109412,109798,110185,110500,110887,111246,111580,111870,112117,112414,112730,113113,113423,113819,114214,114707,115144,115677,116328,117067,117817,118425,118926,119263,119625,119923,120226,120500,120804,121056,121303,121535,121806,122051,122309,122584,122858,123094,123282,123534,123821,124117,124199,124212,124160,124228,124288,124426,124534,124686,124880,124922,124786,124524,124392,124310,124224,124125,124079,123978,123867,123723,123469,123201,122955,122838,122750,122673,122638,122563,122475,122406,122349,122303,122303,122395,122620,122788,122864,122769,122559,122295,121956,121576,121194,120804,120522,120195,119834,119456,119111,118890,118765,118761,118812,118848,118916,118989,118934,118862,118849,118972,119165,119358,119614,119838,120116,120504,120912,121308,121739,122184,122439,122540,122644,122904,123148,123407,123632,123832,123987,124220,124459,124784,125222,125764,126219,126524,126752,126934,127162,127377,127610,127809,128122,128412,128760,129085,129504,129923,130370,130843,131308,131775,132263,132693,133038,133396,133776,134140,134508,134925,135395,135836,136215,136614,137031,137522,138121,138711,139305,139847,140352,140876,141344,141838,142321,142789,143303,143828,144198,144512,144824,145354,145928,146290,146629,147017,147557,148073,148459,148877,149360,149943,150426,150806,151103,151553,151954,152496,152921,153400,153693,154071,154425,154563,154648,154736,155101,155486,155987,156418,156938,157503,158343,159179,160120,161290
Mississippi,74183,74182,74257,74351,74502,74636,74823,74966,75092,75374,75714,76057,76186,76279,76394,76599,76826,76999,77064,77201,77423,77944,78372,78814,79131,79620,79956,80215,80379,80803,81234,81737,82108,81580,80989,80402,80676,80977,81387,81802,82016,81912,81983,81891,81963,82151,82637,83088,83274,83407,83551,83724,84065,84526,84871,85230,85530,86021,86497,87124,87635,87980,88230,88505,88818,89116,89330,89639,89886,90230,90414,90545,90658,90799,90951,90995,91142,91338,91722,91942,92232,92429,92715,92966,93162,93394,93663,94026,94294,94508,94569,94754,94883,95092,95265,95515,95866,96200,96521,96763,97064,97299,97686,97996,98430,98767,99164,99579,99964,100440,100895,101406,101935,102619,103309,104017,104670,105414,106104,106679,107245,107978,108901,109918,110620,111370,111972,112791,113521,114265,114886,115512,116042,116390,116527,116702,117223,117554,117827,117895,118049,118096,118071,117899,117876,117709,117561,117103,116497,115950,115431,115035,114596,114257,114013,113833,113429,113030,112683,112500,112293,112031,111850,111580,111325,111021,110721,110393,110158,110031,109876,109687,109461,109290,108940,108593,108213,107914,107627,107478,107386,107247,107066,106837,106684,106491,106482,106444,106471,106367,106286,106120,105945,105776,105599,105536,105501,105531,105531,105514,105385,105267,105179,105120,105063,105000,105048,104984,104886,104734,104573,104454,104418,104426,104407,104433,104455,104566,104662,104876,105111,105328,105603,105935,106325,106777,107267,107775,108281,108732,109106,109447,109770,110153,110486,110762,110972,111176,111336,111470,111605,111776,112017,112237,112483,112764,113073,113444,113778,114046,114302,114608,114961,115253,115547,115889,116242,116514,116763,117021,117350,117708,118097,118417,118758,119119,119472,119799,120152,120594,121044,121469,121923,122327,122702,123041,123386,123802,124268,124869,125359,125847,126210,126682,127048,127385,127674,127988,128397,128652,128907,129040,129369,129720,130223,130713,131319,132030,132852,133760,134666,135743
Arkansas,69919,69949,70027,70138,70268,70384,70539,70708,70873,71055,71213,71413,71623,71922,72177,72486,72722,72927,73043,73181,73383,73589,73901,74164,74531,74739,74967,75043,75242,75547,75937,76291,76572,76831,76973,77092,77027,77057,77064,77254,77431,77627,77841,78002,78143,78249,78380,78558,78750,79060,79380,79746,79969,80146,80274,80511,80804,81144,81599,82085,82665,82966,83232,83366,83658,83937,84240,84489,84697,84824,84897,84945,85048,85249,85483,85725,85960,86229,86512,86776,87055,87416,87786,88159,88391,88658,88904,89218,89569,89918,90297,90658,91058,91440,91815,92195,92603,93056,93541,94050,94492,94936,95344,95849,96340,96855,97330,97840,98503,99206,99934,100587,101249,101910,102594,103198,103826,104488,105257,105957,106525,107006,107486,107964,108485,108993,109475,109894,110297,110577,110816,111018,111220,111390,111483,111603,111643,111711,111751,111932,112010,112118,112071,112074,112022,112043,112057,112054,111922,111667,111439,111144,110939,110669,110424,110077,109672,109165,108632,108107,107742,107496,107274,106972,106682,106428,106371,106385,106507,106574,106620,106624,106642,106551,106314,106072,105700,105358,104887,104478,104068,103774,103533,103273,102900,102632,102536,102547,102611,102702,102777,102804,102798,102830,102975,103239,103620,103938,104159,104327,104556,104755,105021,105325,105673,105923,106012,106040,106072,106171,106338,106512,106641,106745,106782,106772,106795,106937,107203,107461,107694,107840,107926,108033,108213,108476,108758,109057,109322,109527,109663,109839,109969,110204,110482,110833,111148,111423,111737,112034,112346,112671,113035,113399,113813,114228,114583,114871,115171,115528,115897,116272,116669,117043,117472,117840,118274,118669,119216,119764,120263,120685,121118,121602,122086,122613,123098,123619,124083,124500,124866,125170,125558,125937,126389,126887,127383,127808,128150,128516,128998,129510,129983,130452,130919,131405,131623,131862,132115,132554,133014,133490,133964,134505,135135,135870,136647,137506,138618,139767,141002,142225
Kansas,77594,77742,77899,78164,78341,78508,78642,78843,79011,79245,79486,79742,79982,80233,80472,80733,81085,81422,81830,82142,82491,82729,82917,83112,83370,83569,83710,83823,84048,84354,84666,84982,85323,85694,86122,86501,86826,87188,87595,88108,88497,88863,89133,89454,89775,90114,90496,90919,91353,91655,91935,92144,92476,92809,93240,93666,94076,94496,94852,95255,95757,96423,97123,97758,98429,99045,99575,100045,100464,100909,101136,101404,101618,101895,102238,102696,102774,102772,102621,102617,102552,102523,103127,103677,104254,104469,104405,104035,104018,104370,105205,105853,106277,106584,106564,106797,106890,107195,107737,108617,109342,109996,110294,110730,111639,112746,113844,114276,114801,115277,115792,116136,116614,116718,116914,117009,117316,117334,117291,117599,118026,118556,118857,119172,119367,119752,120175,120666,120856,121166,121559,122055,122423,122672,122955,123282,123601,123890,124144,124398,124602,124776,124919,124969,125060,125080,125145,125062,125075,125072,125043,125051,125040,125019,124811,124633,124368,124331,124239,124347,124275,124284,124307,124372,124435,124482,124591,124641,124667,124500,124518,124485,124483,124316,124008,123541,123058,122709,122404,122090,121756,121477,120959,120349,119903,119563,119347,119136,119017,118769,118511,118269,118238,118319,118481,118632,118667,118812,118931,119106,119125,119205,119356,119556,119635,119603,119822,120112,120460,120544,120639,120712,120918,121157,121389,121656,121882,122138,122110,122135,122151,122381,122699,123077,123477,123798,124138,124437,124821,125159,125639,126130,126674,127229,127686,128111,128427,128824,129170,129514,129834,130280,130707,131101,131557,132039,132579,133072,133578,134057,134513,135006,135530,136106,136749,137434,137935,138335,138778,139345,140000,140660,141391,142136,142850,143476,144019,144540,145179,145827,146324,146742,147202,147693,148280,148806,149399,149906,150398,150855,151356,151984,152682,153301,153816,154212,154368,154649,155085,155746,156385,157069,157819,158564,159405,160415,161566,162903,164485,166119,167737,169388
Utah,159863,160004,160283,160781,161434,161972,162478,162889,163334,163761,164291,164805,165230,165571,165775,166081,166431,166963,167499,167968,168363,168823,169040,169288,169697,170428,171183,171669,171784,171820,171851,171997,172172,172251,172488,172605,172631,172564,172619,172798,172567,172344,172197,172653,173065,173525,173911,174474,175012,175554,176007,176575,178196,179602,180955,181225,181733,182203,182813,183374,183932,184331,184611,184816,184625,184577,184502,184913,185245,185687,185893,186006,186063,186040,186238,186339,186320,186203,186167,186164,186030,185693,185548,185428,185406,185470,185410,185487,185668,185963,186121,186188,186315,186578,186888,187271,187667,188063,188437,188698,188840,188927,188989,189085,189192,189368,189461,189591,189828,190328,190940,191658,192375,192998,193631,194387,195419,196682,198188,199840,201431,203161,205071,207377,209817,212667,215985,219472,222936,226092,229039,231694,234634,237544,240667,243458,246317,249209,251770,254189,255719,256966,257909,258983,259670,259523,258499,256725,254839,252594,250310,247773,245770,243832,241898,239645,237041,234686,232330,230502,228454,226723,225199,223878,222409,221059,220155,219510,218875,218225,217551,217021,216309,215240,213615,211604,210128,208674,207024,204821,203070,201412,200287,198797,197629,196456,195881,195804,195198,194588,194017,194308,194534,195018,195316,196025,197073,198176,199154,200038,201566,203418,205464,207599,209667,211794,213837,216344,218519,221139,223641,226060,228105,229682,231002,231742,232549,233269,234151,234270,234463,234474,234460,234552,234521,235165,236089,237135,238243,239297,240719,242416,243976,245384,246976,249001,251188,253024,254402,255850,257470,259146,260441,261648,263350,265271,267316,268768,270654,272507,274881,277125,279227,281199,283457,285948,288370,290838,293078,295577,297456,299448,301368,303741,305845,308435,310973,313974,316715,319148,321653,323810,326209,328714,331321,333618,336106,338160,340028,341125,342253,343926,345536,347210,348644,349549,350707,351466,353883,355665,358201,360228,363338,366455,369959,373920,378476,383822,389388,395882,401529,408466
Nevada,158887,158854,159005,159151,159423,159576,159828,160286,160793,161267,161510,161893,162253,162790,163097,163635,164029,164422,164659,164668,164817,164987,165451,165834,166457,167016,167599,167837,167995,168430,168759,169098,169161,169441,169759,169943,169766,169574,169587,169849,170311,170891,171987,172926,173792,174313,174971,175647,176470,177155,177896,178674,179433,180066,180408,180876,181540,182315,183140,183906,184794,185861,186865,187775,188651,189646,190728,191887,193063,194215,195153,196212,197168,198115,198975,200026,200973,201809,202527,203450,204410,205795,207319,209011,210668,212265,213517,214687,215999,217467,219240,221444,224601,228217,232411,236518,241192,245434,251084,256104,263290,271044,279827,286865,292540,297315,302031,307211,311875,318434,323617,330575,333886,337149,338745,342184,345487,348535,351015,352377,354085,354265,355778,356559,357926,358047,358002,357116,356315,354854,353863,353104,352482,351746,349932,346521,342878,339475,336136,332273,327830,323232,317302,310510,302254,292829,283511,275852,269828,263140,256211,248568,240885,233124,225006,218267,211363,206257,200916,195680,189222,182906,177042,172851,169634,167343,165485,163377,162581,161633,160979,159777,158661,158434,157925,157273,155776,154294,153347,152383,150569,148457,146411,144784,143683,141856,140632,138742,137958,137178,136530,136009,135874,135801,135653,135929,136407,137654,138667,140655,142516,144491,146578,149021,152004,155339,159454,163263,167413,171631,176289,180439,184387,187812,191010,193131,195068,196825,198353,199520,199994,200325,201131,201792,201974,203064,204302,206822,208318,209955,211109,212542,214494,215942,216637,217718,219387,220890,221814,223250,225257,227135,228160,229717,231060,232752,234092,235455,236737,237289,238415,238020,238827,239672,242902,245318,247835,250248,253522,256336,259774,263848,268260,272572,275607,278979,281096,283746,286583,290729,294547,298183,300167,301382,301671,303026,304327,305574,305521,305829,306893,308086,308090,306849,305489,305606,306630,307479,308639,309615,311709,313552,314811,315415,316992,319856,323647,326708,329567,332267,335184,338426
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,126796,126839,126842,126776,126658,126585,126581,126617,126608,126615,126612,126587,126586,126538,126473,126447,126665,126886,127139,127226,127406,127499,127607,127767,127954,128166,128379,128730,128820,128905,128869,129102,129396,129827,130325,130770,131209,131607,132279,132885,133542,134056,134495,134878,135130,135446,135745,136226,136622,137056,137116,137291,137527,137966,138386,138755,139052,139414,139686,139967,140238,140539,140944,141316,141777,142203,142761,143422,144297,145051,145937,146563,147231,147960,148910,149855,150560,151051,151605,152185,152857,153629,154420,155528,156500,157565,158513,159899,161485,163469,165347,167305,169244,171238,173266,175277,177518,179618,181588,183190,184911,186644,188407,189880,190966,191819,192591,193287,194166,194969,195996,196777,197354,197391,197330,197284,197328,197132,196840,196618,196048,195389,194088,193077,191866,191146,189965,189023,188168,187392,186408,184797,183798,182866,183083,182720,182535,181742,181961,181835,181579,180960,180534,180507,180003,179587,178404,177306,176140,175155,173561,172048,170797,170444,170127,169833,169050,167938,166820,166204,165757,165435,165189,164982,164813,164401,164036,163456,163205,163233,163448,163620,163560,163912,164022,164329,163897,163552,163280,163713,164276,164980,165761,166369,167297,167461,168025,168126,169214,170107,170863,170916,170758,170542,170105,169748,169206,169308,169424,170134,170350,170385,170246,170235,170616,170864,171326,171789,172523,172908,172904,172388,172205,172577,173280,174231,174791,175450,175929,176467,176607,176922,177700,178831,179822,180227,180491,180425,180750,181148,181816,182552,183359,184073,184300,184616,184778,185240,185965,187092,188176,189002,189622,189902,190431,191007,192324,193371,194654,195795,196700,197280,197822,198697,199962,201262,202436,203447,204045,204540,205265,206240,207386,208494,209728,211123,212430,214056,215855,217989,220390,223230,226057,228990,232164
